num	point	place	zone	coast	biotop	Na	K	Ca	Mg	HCO3	C(CO2)	Cl	N(NO2)	N(NO3)	S(SO4)	N(NH4)	P(PO4)	Si	COD	 ðÍ 	Corg	Bio_phyto	chloroph_a	Sum_PP	BOD	NB	OB	TMC22C 	TMC37C 	Sum_BP
1	1	per	u	e	w	1.6	0.72	5.1	0.97	13.19	2.317593278	0.25	0.010043478	0.182903226	3.3	0.035777778	0.003888889	1.49	0.4	6.7	1.99	37	0.01	1.72	0.1	123	296	58	10	0.28
2	1	per	r	e	w	1.34	0.67	5.1	1.1	11.92	2.094443659	0.23	0.001217391	0.273913043	3.626666667	0.006666667	0.002121212	1.26	1	6.7	1.03	NA	NA	NA	0.3	135	304	33	1	NA
3	1	per	r	e	w	1.38	0.64	5.2	1.1	11.62	1.659581386	0.21	0.002130435	0.325652174	3.95	0.003333333	0.002121212	1.91	0.7	6.79	1.82	45	0.51	3.56	0.2	167	394	44	10	0.35
4	1	per	r	e	w	1.25	0.64	5.5	1.1	12.45	1.659440856	0.11	0.00273913	0.325652174	4.083333333	0.003333333	0.002828283	1.51	2.7	6.82	1.14	NA	NA	NA	0.5	127	358	52	11	NA
5	1	per	r	e	w	1.3	0.66	5.9	1.2	13.56	2.275370465	0.14	0.001826087	0.310434783	3.973333333	0.005333333	0.002474747	2.47	1.5	6.72	2.06	NA	NA	NA	0.1	128	325	78	9	NA
6	1	per	r	e	w	1.27	0.66	5.5	1	10.25	1.532908712	0.11	0.002130435	0.304347826	4.166666667	0.004	0.002474747	1.89	1.3	6.77	1.33	NA	NA	NA	0.2	128	494	94	9	NA
7	1	per	r	e	w	1.31	0.66	5.9	1.3	13.96	1.993782801	0.1	0.001521739	0.322608696	4.003333333	0.004	0.002474747	2.41	2.2	6.79	1.3	NA	NA	NA	0.4	108	435	53	2	NA
8	2	sol	u	e	w	1.21	2.02	11	2.06	34.86	0.865206572	0.15	0.006391304	0.563043478	3.6	0.002333333	0.003535354	3.31	1.6	7.55	2.53	12	0.12	3.56	0.4	107	755	43	3	0.6
9	2	sol	r	e	w	2.22	1.51	13.2	2.58	49.04	0.923300112	0.68	0.004565217	0.33173913	2.786666667	0.001333333	0.005656566	2.03	4.2	7.67	2.24	80	0.92	7.06	0.5	537	322	23	1	0.75
10	3	m_osin	u	e	w	3.24	0.86	16.4	2.36	37.63	0.724981034	0.29	0.043521739	3.69173913	7.21	0.005	0.001414141	3.93	1.6	7.66	1.51	15	0.07	9.85	0.3	209	288	112	4	1.13
